alue_kunta;alue_mk
KOKO MAA;Koko Suomi
Akaa;Pirkanmaa
Alajärvi;Etelä-Pohjanmaa
Alavieska;Pohjois-Pohjanmaa
Alavus;Etelä-Pohjanmaa
Asikkala;Päijät-Häme
Askola;Uusimaa
Aura;Varsinais-Suomi
Brändö;Ahvenanmaa
Eckerö;Ahvenanmaa
Enonkoski;Etelä-Savo
Enontekiö;Lappi
Espoo;Uusimaa
Eura;Satakunta
Eurajoki;Satakunta
Evijärvi;Etelä-Pohjanmaa
Finström;Ahvenanmaa
Forssa;Kanta-Häme
Föglö;Ahvenanmaa
Geta;Ahvenanmaa
Haapajärvi;Pohjois-Pohjanmaa
Haapavesi;Pohjois-Pohjanmaa
Hailuoto;Pohjois-Pohjanmaa
Halsua;Keski-Pohjanmaa
Hamina;Kymenlaakso
Hammarland;Ahvenanmaa
Hankasalmi;Keski-Suomi
Hanko;Uusimaa
Harjavalta;Satakunta
Hartola;Päijät-Häme
Hattula;Kanta-Häme
Hausjärvi;Kanta-Häme
Heinola;Päijät-Häme
Heinävesi;Pohjois-Karjala
Helsinki;Uusimaa
Hirvensalmi;Etelä-Savo
Hollola;Päijät-Häme
Huittinen;Satakunta
Humppila;Kanta-Häme
Hyrynsalmi;Kainuu
Hyvinkää;Uusimaa
Hämeenkyrö;Pirkanmaa
Hämeenlinna;Kanta-Häme
Ii;Pohjois-Pohjanmaa
Iisalmi;Pohjois-Savo
Iitti;Päijät-Häme
Ikaalinen;Pirkanmaa
Ilmajoki;Etelä-Pohjanmaa
Ilomantsi;Pohjois-Karjala
Imatra;Etelä-Karjala
Inari;Lappi
Inkoo;Uusimaa
Isojoki;Etelä-Pohjanmaa
Isokyrö;Etelä-Pohjanmaa
Janakkala;Kanta-Häme
Joensuu;Pohjois-Karjala
Jokioinen;Kanta-Häme
Jomala;Ahvenanmaa
Joroinen;Pohjois-Savo
Joutsa;Keski-Suomi
Juuka;Pohjois-Karjala
Juupajoki;Pirkanmaa
Juva;Etelä-Savo
Jyväskylä;Keski-Suomi
Jämijärvi;Satakunta
Jämsä;Keski-Suomi
Järvenpää;Uusimaa
Kaarina;Varsinais-Suomi
Kaavi;Pohjois-Savo
Kajaani;Kainuu
Kalajoki;Pohjois-Pohjanmaa
Kangasala;Pirkanmaa
Kangasniemi;Etelä-Savo
Kankaanpää;Satakunta
Kannonkoski;Keski-Suomi
Kannus;Keski-Pohjanmaa
Karijoki;Etelä-Pohjanmaa
Karkkila;Uusimaa
Karstula;Keski-Suomi
Karvia;Satakunta
Kaskinen;Pohjanmaa
Kauhajoki;Etelä-Pohjanmaa
Kauhava;Etelä-Pohjanmaa
Kauniainen;Uusimaa
Kaustinen;Keski-Pohjanmaa
Keitele;Pohjois-Savo
Kemi;Lappi
Kemijärvi;Lappi
Keminmaa;Lappi
Kemiönsaari;Varsinais-Suomi
Kempele;Pohjois-Pohjanmaa
Kerava;Uusimaa
Keuruu;Keski-Suomi
Kihniö;Pirkanmaa
Kinnula;Keski-Suomi
Kirkkonummi;Uusimaa
Kitee;Pohjois-Karjala
Kittilä;Lappi
Kiuruvesi;Pohjois-Savo
Kivijärvi;Keski-Suomi
Kokemäki;Satakunta
Kokkola;Keski-Pohjanmaa
Kolari;Lappi
Konnevesi;Keski-Suomi
Kontiolahti;Pohjois-Karjala
Korsnäs;Pohjanmaa
Koski Tl;Varsinais-Suomi
Kotka;Kymenlaakso
Kouvola;Kymenlaakso
Kristiinankaupunki;Pohjanmaa
Kruunupyy;Pohjanmaa
Kuhmo;Kainuu
Kuhmoinen;Pirkanmaa
Kumlinge;Ahvenanmaa
Kuopio;Pohjois-Savo
Kuortane;Etelä-Pohjanmaa
Kurikka;Etelä-Pohjanmaa
Kustavi;Varsinais-Suomi
Kuusamo;Pohjois-Pohjanmaa
Kyyjärvi;Keski-Suomi
Kärkölä;Päijät-Häme
Kärsämäki;Pohjois-Pohjanmaa
Kökar;Ahvenanmaa
Lahti;Päijät-Häme
Laihia;Pohjanmaa
Laitila;Varsinais-Suomi
Lapinjärvi;Uusimaa
Lapinlahti;Pohjois-Savo
Lappajärvi;Etelä-Pohjanmaa
Lappeenranta;Etelä-Karjala
Lapua;Etelä-Pohjanmaa
Laukaa;Keski-Suomi
Lemi;Etelä-Karjala
Lemland;Ahvenanmaa
Lempäälä;Pirkanmaa
Leppävirta;Pohjois-Savo
Lestijärvi;Keski-Pohjanmaa
Lieksa;Pohjois-Karjala
Lieto;Varsinais-Suomi
Liminka;Pohjois-Pohjanmaa
Liperi;Pohjois-Karjala
Lohja;Uusimaa
Loimaa;Varsinais-Suomi
Loppi;Kanta-Häme
Loviisa;Uusimaa
Luhanka;Keski-Suomi
Lumijoki;Pohjois-Pohjanmaa
Lumparland;Ahvenanmaa
Luoto;Pohjanmaa
Luumäki;Etelä-Karjala
Maalahti;Pohjanmaa
Maarianhamina - Mariehamn;Ahvenanmaa
Marttila;Varsinais-Suomi
Masku;Varsinais-Suomi
Merijärvi;Pohjois-Pohjanmaa
Merikarvia;Satakunta
Miehikkälä;Kymenlaakso
Mikkeli;Etelä-Savo
Muhos;Pohjois-Pohjanmaa
Multia;Keski-Suomi
Muonio;Lappi
Mustasaari;Pohjanmaa
Muurame;Keski-Suomi
Mynämäki;Varsinais-Suomi
Myrskylä;Uusimaa
Mäntsälä;Uusimaa
Mänttä-Vilppula;Pirkanmaa
Mäntyharju;Etelä-Savo
Naantali;Varsinais-Suomi
Nakkila;Satakunta
Nivala;Pohjois-Pohjanmaa
Nokia;Pirkanmaa
Nousiainen;Varsinais-Suomi
Nurmes;Pohjois-Karjala
Nurmijärvi;Uusimaa
Närpiö;Pohjanmaa
Orimattila;Päijät-Häme
Oripää;Varsinais-Suomi
Orivesi;Pirkanmaa
Oulainen;Pohjois-Pohjanmaa
Oulu;Pohjois-Pohjanmaa
Outokumpu;Pohjois-Karjala
Padasjoki;Päijät-Häme
Paimio;Varsinais-Suomi
Paltamo;Kainuu
Parainen;Varsinais-Suomi
Parikkala;Etelä-Karjala
Parkano;Pirkanmaa
Pedersören kunta;Pohjanmaa
Pelkosenniemi;Lappi
Pello;Lappi
Perho;Keski-Pohjanmaa
Pertunmaa;Etelä-Savo
Petäjävesi;Keski-Suomi
Pieksämäki;Etelä-Savo
Pielavesi;Pohjois-Savo
Pietarsaari;Pohjanmaa
Pihtipudas;Keski-Suomi
Pirkkala;Pirkanmaa
Polvijärvi;Pohjois-Karjala
Pomarkku;Satakunta
Pori;Satakunta
Pornainen;Uusimaa
Porvoo;Uusimaa
Posio;Lappi
Pudasjärvi;Pohjois-Pohjanmaa
Pukkila;Uusimaa
Punkalaidun;Pirkanmaa
Puolanka;Kainuu
Puumala;Etelä-Savo
Pyhtää;Kymenlaakso
Pyhäjoki;Pohjois-Pohjanmaa
Pyhäjärvi;Pohjois-Pohjanmaa
Pyhäntä;Pohjois-Pohjanmaa
Pyhäranta;Varsinais-Suomi
Pälkäne;Pirkanmaa
Pöytyä;Varsinais-Suomi
Raahe;Pohjois-Pohjanmaa
Raasepori;Uusimaa
Raisio;Varsinais-Suomi
Rantasalmi;Etelä-Savo
Ranua;Lappi
Rauma;Satakunta
Rautalampi;Pohjois-Savo
Rautavaara;Pohjois-Savo
Rautjärvi;Etelä-Karjala
Reisjärvi;Pohjois-Pohjanmaa
Riihimäki;Kanta-Häme
Ristijärvi;Kainuu
Rovaniemi;Lappi
Ruokolahti;Etelä-Karjala
Ruovesi;Pirkanmaa
Rusko;Varsinais-Suomi
Rääkkylä;Pohjois-Karjala
Saarijärvi;Keski-Suomi
Salla;Lappi
Salo;Varsinais-Suomi
Saltvik;Ahvenanmaa
Sastamala;Pirkanmaa
Sauvo;Varsinais-Suomi
Savitaipale;Etelä-Karjala
Savonlinna;Etelä-Savo
Savukoski;Lappi
Seinäjoki;Etelä-Pohjanmaa
Sievi;Pohjois-Pohjanmaa
Siikainen;Satakunta
Siikajoki;Pohjois-Pohjanmaa
Siikalatva;Pohjois-Pohjanmaa
Siilinjärvi;Pohjois-Savo
Simo;Lappi
Sipoo;Uusimaa
Siuntio;Uusimaa
Sodankylä;Lappi
Soini;Etelä-Pohjanmaa
Somero;Varsinais-Suomi
Sonkajärvi;Pohjois-Savo
Sotkamo;Kainuu
Sottunga;Ahvenanmaa
Sulkava;Etelä-Savo
Sund;Ahvenanmaa
Suomussalmi;Kainuu
Suonenjoki;Pohjois-Savo
Sysmä;Päijät-Häme
Säkylä;Satakunta
Taipalsaari;Etelä-Karjala
Taivalkoski;Pohjois-Pohjanmaa
Taivassalo;Varsinais-Suomi
Tammela;Kanta-Häme
Tampere;Pirkanmaa
Tervo;Pohjois-Savo
Tervola;Lappi
Teuva;Etelä-Pohjanmaa
Tohmajärvi;Pohjois-Karjala
Toholampi;Keski-Pohjanmaa
Toivakka;Keski-Suomi
Tornio;Lappi
Turku;Varsinais-Suomi
Tuusniemi;Pohjois-Savo
Tuusula;Uusimaa
Tyrnävä;Pohjois-Pohjanmaa
Ulvila;Satakunta
Urjala;Pirkanmaa
Utajärvi;Pohjois-Pohjanmaa
Utsjoki;Lappi
Uurainen;Keski-Suomi
Uusikaarlepyy;Pohjanmaa
Uusikaupunki;Varsinais-Suomi
Vaala;Pohjois-Pohjanmaa
Vaasa;Pohjanmaa
Valkeakoski;Pirkanmaa
Vantaa;Uusimaa
Varkaus;Pohjois-Savo
Vehmaa;Varsinais-Suomi
Vesanto;Pohjois-Savo
Vesilahti;Pirkanmaa
Veteli;Keski-Pohjanmaa
Vieremä;Pohjois-Savo
Vihti;Uusimaa
Viitasaari;Keski-Suomi
Vimpeli;Etelä-Pohjanmaa
Virolahti;Kymenlaakso
Virrat;Pirkanmaa
Vårdö;Ahvenanmaa
Vöyri;Pohjanmaa
Ylitornio;Lappi
Ylivieska;Pohjois-Pohjanmaa
Ylöjärvi;Pirkanmaa
Ypäjä;Kanta-Häme
Ähtäri;Etelä-Pohjanmaa
Äänekoski;Keski-Suomi
